pid,format,title,creator_s,translation,language,organization ,year,original_link
recen01,book,Grieving. Dispatches from a Wounded Country,Cristina Rivera Garza,Sarah Booker,English,The Feminist Press,2020,https://www.feministpress.org/books-a-m/grieving
recen02,book,Drug War Capitalism,Dawn Paley,,English,AK Press,2014,https://www.akpress.org/drug-war-capitalism.html
recen03,book,Ayotzinapa Report. Research and initial conclusions of the disappearance and homicides of the normalistas from Ayotzinapa,Grupo Interdisciplinario de Expertos Independientes para el Caso Ayotzinapa,,Spanish,GIEI,2015,https://prensagieiayotzi.wixsite.com/giei-ayotzinapa/informe-
recen04,book,"Ayotzinapa Report II. Forward Steps and New Conclusions on the Investigation, Search and Care for Victims",Grupo Interdisciplinario de Expertos Independientes para el Caso Ayotzinapa,,English,GIEI,2016,https://prensagieiayotzi.wixsite.com/giei-ayotzinapa/informe-
recen05,book,The land of open graves,Jason de León,,English,University of California Press,2015,https://www.ucpress.edu/book/9780520282759/the-land-of-open-graves
recen06,book,We Couldn't Even Imagine That They Would Kill Us: An Oral History of the Attacks Against the Students of Ayotzinapa,John Gibler,,English,City Lights Publishers,2017,https://citylights.com/latin-america/couldnt-even-imagine-that-they-would/
recen07,book,A History of Violence. Living and Dying in Central America,Oscar Martinez,John B. Washington and Daniela Ugaz,English,Verso,2016,https://www.versobooks.com/books/2416-a-history-of-violence
recen08,book,Antígona González,Sandra Uribe,John Pluecker,English,Les Figues Press,2016,http://lesfigues.com/book/antigona-gonzalez/
recen09,book,Gore Capitalism,Sayak Valencia,John Pluecker,English,Semiotext(e),2018,https://mitpress.mit.edu/books/gore-capitalism
recen10,book,The Femicide Machine,Sergio González Rodríguez,Michael Parker-Stainback,English,Semiotext(e),2012,https://mitpress.mit.edu/books/femicide-machine
recen11,book,The Iguala 43. The Truth and Challenge of Mexico's Disappeared Students,Sergio González Rodríguez,Joshua Neuhouser,English,Semiotex(e),2017,https://mitpress.mit.edu/books/iguala-43
recen12,book,Tiempo suspendido. Una historia de la desaparición forzada en México 1940-1980,Camilo Vicente Ovalle,,Spanish,,2019,https://es.scribd.com/book/435649839/Tiempo-suspendido-Una-historia-de-la-desaparicion-forzada-en-Mexico-1940-1980
recen13,book,El Tiempo de Ayotzinapa,Carlos Beristain,,Spanish,Akal,2017,https://www.akal.com/libro/el-tiempo-de-ayotzinapa_49823/
recen14,book,"Drama social y política del duelo:: Las desapariciones de la guerra contra las drogas en Tijuana,",Carolina Robledo Silvestre,NA,Spanish,COLMEX,2017,https://www.jstor.org/stable/j.ctv2tw0dk
recen15,book,Ya no somos las mismas: Y aquí sigue la guerra,Daniela Rea (editora),,Spanish,Grijalbo - Pie de Página,2020,https://www.penguinrandomhouse.com/books/669911/ya-no-somos-las-mismas-y-aqui-sigue-la-guerra--we-are-no-longer-the-same-and-here-the-war-continues-by-daniela-rea/
,book,Guerra neoliberal. Desaparición y búsqueda en el norte de México,Dawn Paley,,Spanish,Libertad bajo palabra,2020,https://libertadbajopalabraz.wordpress.com/portfolio/guerra-neoliberal-desaparicion-y-busqueda-en-el-norte-de-mexico/
recen17,book,Procesos de la noche,Diana del Ángel,,Spanish,Almadía,2017,
recen18,book,Informe Ayotzinapa. Investigación y primeras conclusiones de las desapariciones y homicidios de los normalistas de Ayotzinapa,Grupo Interdisciplinario de Expertos Independientes para el Caso Ayotzinapa,,Spanish,GIEI,2015,https://prensagieiayotzi.wixsite.com/giei-ayotzinapa/informe-
recen19,book,"Informe Ayotzinapa II. Avances y nuevas conclusiones sobre la investigación, búsqueda y atención a víctimas",Grupo Interdisciplinario de Expertos Independientes para el Caso Ayotzinapa,,Spanish,GIEI,2016,https://prensagieiayotzi.wixsite.com/giei-ayotzinapa/informe-
recen20,book,Informe Ayotzinapa III. Resumen,Grupo Interdisciplinario de Expertos Independientes para el Caso Ayotzinapa,,Spanish,GIEI,2022,https://centroprodh.org.mx/2022/03/29/informe-giei-ayotzinapa-iii/
recen21,book,Cuerpos liminales. La performatividad de la búsqueda,Ileana Diéguez Caballero,,Spanish,Ediciones DocumentA/Escénicas,2022,http://edicionesdocumenta.com.ar/2022/01/cuerpos-liminales-la-performatividad-de-la-busqueda/
recen22,investigative journalism,El país de las dos mil fosas,"Alejandra Guillén, Mago Torres and Marcela Turati",,Spanish,A dónde van los desaparecidos,2018,https://adondevanlosdesaparecidos.org/2018/11/12/2-mil-fosas-en-mexico/
recen23,investigative journalism,Crisis Forense,"Marcela Turati, Efraín Tzuc",,Spanish,Quinto Elemento Lab,,https://quintoelab.org/crisisforense/
recen24,investigative journalism,Gone [Ausentes],"Stephanie Nolen, Félix Márquez",,Bilingual,The Globe and Mail,2020,https://www.theglobeandmail.com/world/article-the-disappeared-inside-families-risky-search-to-uncover-the-truth/
recen25,investigative journalism,Desaparecido es un lugar-A place called Disappeared,Daniela Rea,,Bilingual,Global Initiative Resilience Fund,2021,https://landscapes.globalinitiative.net/index.html
recen26,film,Águilas,"Kristy Guevara-Flanagan, Maite Zubiaurre, Danielle Mackey",,,The New Yorker,2021,https://www.newyorker.com/culture/the-new-yorker-documentary/the-grim-compassion-of-searching-for-missing-migrants-in-the-desert
recen27,film,Buscadores,,,Spanish,Pie de Página,,https://piedepagina.mx/buscadores/
recen28,film,El cuarto de los huesos (The room of bones),Marcela Zamora,,Bilingual,,2015,https://www.youtube.com/watch?v=d9Xw_HjC5GY
recen29,film,El eterno presente (The Eternal Present),Ignacio Rosaslanda,,,,2020,
recen30,film,El Violín (The Violin),Francisco Vargas,,Spanish,,2005,https://www.youtube.com/watch?v=Ko7p1ZrySQk
recen31,film,Guerrero,Ludovic Bonleux,,Spanish,,2017,https://www.youtube.com/watch?v=NC7Z9HLpgbU
recen32,film,Las tres muertes de Maricela Escobedo (The Three Deaths of Maricela Escobedo),Carlos Pérez Osorio,,Bilingual,,2020,https://www.netflix.com/us-es/title/81002192
recen33,film,No sucumbió la eternidad (Eternity Never Surrendered),Daniela Rea,,Bilingual,,2017,https://vimeo.com/264356833
recen34,film,Persistencia (Persistence),"Anne Huffshmidt, Jan-Holger Hennies",,Spanish,,2019,https://vimeo.com/353875557
recen35,film,Puntos Suspensivos (Elipsis),Paola Ovalle & Alfonso Díaz Tovar,,Spanish,,2015,https://vimeo.com/134689061
recen36,film,Sin tregua (No Truce),Diego Rabasa,,Spanish,,2019,https://www.youtube.com/watch?v=5uiKVB9amJo
recen37,film,"Soles negros (Black Suns, Soleils Noirs)",Julien Elie,,,,2018,https://vimeo.com/272020494
recen38,film,Tempestad,Tatiana Huezo,,,,2016,https://www.youtube.com/watch?v=ZcsTU8W_Bv8
recen39,film,"Te nombré en el silencio (I Called For You In Silence),",Dir. José María Espinosa,,Spanish,,2021,https://www.youtube.com/watch?v=9aE2jdAjg4Q
recen40,film,Until we find them,Hunter Johnson,,Bilingual,,2020,https://www.untilwefindthem.com/
recen41,film,Vivos,"Ai Wei Wei,",,,,2020,https://vimeo.com/ondemand/vivos
recen42,film,Volverte a ver,Carolina Corral,,Spanish,Amate Films,2020,https://www.amatefilms.mx/en/video/volverte-a-ver/
recen43,film,Ya no somos invisibles (We are no longer invisible),Colectivo de Familiares Desaparecidos y Asesinados en Chilpancingo & Heriberto Paredes Coronel,,,,2019,https://vimeo.com/371057192
recen44,podcast,Camino a encontrarles. Historias de búsqueda,A dónde van los desaparecidos,,Spanish,IMER Noticias y Quinto elemento Lab,,https://open.spotify.com/show/65fULeDud7oBUq4c5M9QKu?si=zBJFAwdNS6q4jLjVtKS4og&nd=1
recen45,podcast,Nos llaman las locas de las palas,Centro Prodh,,Spanish,,2020,https://open.spotify.com/episode/0f34LmiVpii1gmXT2UAezj
recen46,podcast,The Disappeared: An Open Wound in Latin America,Brigada Nacional de Búsqueda ,,,,,https://open.spotify.com/playlist/5UIk1DD768cKkCyE7A8WvT?si=3eda18c57621491c&nd=1
recen47,podcast,Forgotten: Women of Juárez,Mónica Ortiz Uribe,,English,,2020,https://podcasts.apple.com/us/podcast/forgotten-women-of-ju%C3%A1rez/id1458661510
recen48,podcast,El agua hablará. Relatos de búsquedas en lo profundo,Celia Guerrero y Mayela Sánchez,,Spanish,Bajo Tierra,,http://www.bajotierramedia.com/
recen49,podcast,Las Madres del Desierto,El Hilo,,Spanish,Radio Ambulante,,https://elhilo.audio/podcast/desaparecidos-mexico/
recen50,podcast,Searching for Mexico’s Disappeared,"Gina Hinojosa y Maureen Meyer
",,English,WOLA,2020,https://www.wola.org/analysis/searching-for-mexicos-disappeared/
recen51,podcast,Los desaparecidos de Jalisco (The Disappeared from Jalisco),Alejandra Guillén,,Spanish,Así como suena,2018,https://open.spotify.com/episode/1ydYkPWAZQ34LxDiAsLDwu
recen52,multimedia,"1er Curso de especialización en búsqueda y localización de personas desaparecidas por familiares buscadores. Recursos, experiencias y estrategias actuales","UAM Cuajimalpa, Coordinated by Edgar Chávez Hernández, with participations by: Silvia Ortiz de Sánchez-Viesca. Presidenta de Grupo V.I.D.A. Laguna, A.C. ,Coahuila; Fabiola Pensado Barrera. Colectivo Familiares María Herrera, Xalapa, Veracruz; Micaela González Heras, Colectivo Uniendo Corazones, Culiacán, Sinaloa; Angélica Rodríguez Monroy – Colectivo Regresando a Casa, Morelos",,,,2020,http://www.cua.uam.mx/events/primer-curso-de-especializacion-en-busqueda-de-personas-desaparecidas-por-familiares-buscadores-recursos-experiencias-estrategias-actuales
recen53,multimedia,Ecologies of Migrant Care,Hemispheric Institute of Performance and Politics ,,Bilingual,New York University,,https://ecologiesofmigrantcare.org/
recen54,multimedia,Forensic Landscapes,Anne Huffschmid,,Bilingual,,,https://www.forensiclandscapes.com/
recen55,multimedia,Huellas de la Memoria,Huellas de la Memoria Collective,,Spanish,,,https://www.youtube.com/watch?v=Is3nu9fJBLg
recen56,multimedia,The Enforced Disappearance of the Ayotzinapa Students,Forensic Architecture,,English,,2017,https://forensic-architecture.org/investigation/the-enforced-disappearance-of-the-ayotzinapa-students